daily_rate,hotel_type,is_canceled,days_in_advance,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
76.5,City Hotel,no,226,2016,July,30,22,0,2,2,0,0,0,0,0,A,D,0,No Deposit,0,1,Check-Out,2016-07-24
117,City Hotel,no,147,2017,August,35,28,1,5,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-09-03
107.1,City Hotel,no,53,2016,July,28,3,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-07-06
54.05,City Hotel,no,48,2017,January,4,25,0,2,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-01-27
146.96,City Hotel,no,57,2016,September,39,24,2,5,2,0,0,0,0,0,D,A,0,No Deposit,0,1,Check-Out,2016-10-01
247,City Hotel,no,72,2017,July,27,2,2,0,3,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2017-07-04
126.67,City Hotel,yes,31,2017,June,24,11,2,1,2,0,0,0,0,0,A,A,2,No Deposit,0,1,Canceled,2017-05-12
81.08,City Hotel,no,60,2016,July,30,20,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-07-21
95.64,Resort Hotel,no,0,2016,July,28,3,1,0,2,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2016-07-04
122,City Hotel,yes,84,2016,December,52,22,0,1,2,1,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-12-16
80.75,City Hotel,no,91,2016,May,20,12,0,3,2,0,0,0,0,0,A,B,1,No Deposit,0,0,Check-Out,2016-05-15
65.7,Resort Hotel,no,129,2016,May,22,22,2,1,2,0,0,0,0,0,D,E,0,No Deposit,0,2,Check-Out,2016-05-25
177.3,City Hotel,yes,92,2016,July,29,14,0,2,2,2,0,0,0,0,F,F,0,No Deposit,0,0,Canceled,2016-04-14
79.2,City Hotel,no,57,2016,November,46,11,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-11-13
117,City Hotel,no,90,2017,May,20,14,2,0,2,0,0,0,0,0,A,F,0,No Deposit,0,0,Check-Out,2017-05-16
159,City Hotel,no,12,2017,July,29,20,0,2,2,1,0,0,0,0,A,A,0,No Deposit,0,3,Check-Out,2017-07-22
116.1,City Hotel,yes,53,2016,April,18,30,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-04-14
125,City Hotel,no,115,2017,August,34,20,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2017-08-23
77.71,City Hotel,no,0,2016,August,36,30,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-09-01
130.5,City Hotel,no,82,2017,July,27,2,2,1,2,0,0,0,0,0,D,D,2,No Deposit,0,1,Check-Out,2017-07-05
108,City Hotel,yes,211,2017,August,34,22,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-05
145,City Hotel,yes,23,2016,July,28,5,0,2,1,0,0,0,0,0,A,A,0,No Deposit,0,0,No-Show,2016-07-05
62.83,City Hotel,no,34,2017,January,2,14,3,6,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-01-23
75.4,City Hotel,no,88,2016,October,45,30,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,3,Check-Out,2016-11-02
79.2,City Hotel,no,71,2016,November,45,3,0,1,2,0,0,0,0,0,A,A,2,No Deposit,0,2,Check-Out,2016-11-04
119,City Hotel,yes,88,2016,December,51,17,2,5,3,0,0,0,0,0,D,D,2,No Deposit,0,1,Canceled,2016-12-16
108,City Hotel,yes,78,2017,April,17,28,0,1,2,0,0,0,0,0,A,E,0,No Deposit,0,0,Canceled,2017-04-24
139,City Hotel,no,22,2017,July,28,12,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-07-14
127.8,City Hotel,no,154,2016,September,40,25,1,0,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-09-26
75.28,City Hotel,no,0,2016,October,43,22,0,1,1,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-10-23
79.2,City Hotel,yes,76,2016,November,46,6,1,0,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2016-10-31
78.54,City Hotel,no,2,2017,February,7,17,2,3,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-02-22
68,Resort Hotel,no,1,2017,February,7,17,0,2,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2017-02-19
80.1,City Hotel,no,120,2017,August,31,3,2,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-08-08
144,City Hotel,no,131,2017,June,23,8,0,3,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-06-11
98.1,City Hotel,yes,176,2017,July,29,18,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-05-19
259,City Hotel,no,14,2017,July,29,19,0,1,2,2,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2017-07-20
115.2,City Hotel,no,68,2017,July,30,24,1,1,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2017-07-26
108,City Hotel,no,82,2017,May,18,3,0,3,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-05-06
145,City Hotel,yes,11,2016,July,28,5,2,6,1,0,0,0,0,0,A,A,0,No Deposit,0,0,No-Show,2016-07-05
79.17,City Hotel,no,5,2016,March,12,19,2,1,1,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-03-22
111,Resort Hotel,yes,16,2017,April,17,29,1,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-04-18
78.25,City Hotel,no,9,2016,January,5,29,0,2,2,0,0,0,0,0,B,B,1,No Deposit,0,1,Check-Out,2016-01-31
96.25,Resort Hotel,no,8,2016,April,16,14,0,1,1,0,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-04-15
95.56,City Hotel,yes,237,2016,December,53,28,2,5,2,0,0,0,0,0,A,A,1,No Deposit,0,0,Canceled,2016-06-13
79.2,City Hotel,no,94,2016,November,45,3,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-11-07
85.27,City Hotel,yes,131,2016,November,47,13,2,4,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2016-09-06
150.9,City Hotel,yes,52,2016,August,35,27,2,1,3,0,0,0,0,0,D,D,0,No Deposit,0,1,Canceled,2016-08-14
91.85,City Hotel,yes,315,2017,July,27,7,0,1,0,2,0,0,0,0,B,B,2,No Deposit,0,2,Canceled,2016-09-19
157.99,Resort Hotel,no,49,2017,August,34,25,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-08-28
72.9,City Hotel,yes,69,2016,March,11,12,1,1,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Canceled,2016-01-08
68.07,City Hotel,no,32,2017,January,1,4,0,4,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-01-08
58,Resort Hotel,no,0,2016,February,7,12,0,1,2,0,0,0,0,0,A,E,0,No Deposit,0,0,Check-Out,2016-02-13
87,Resort Hotel,no,2,2016,April,15,4,1,1,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Check-Out,2016-04-06
207,Resort Hotel,yes,114,2016,July,30,21,1,3,2,0,0,0,0,0,E,E,1,No Deposit,0,0,Canceled,2016-03-29
120,City Hotel,yes,78,2017,July,27,6,0,3,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-20
119,City Hotel,no,5,2016,June,23,2,0,1,2,0,0,0,0,0,A,G,0,No Deposit,0,0,Check-Out,2016-06-03
150,City Hotel,no,142,2017,August,34,24,0,1,2,0,0,0,0,0,D,E,1,No Deposit,0,2,Check-Out,2017-08-25
89,City Hotel,no,0,2016,February,9,27,0,1,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Check-Out,2016-02-28
160,Resort Hotel,no,0,2017,July,28,9,1,0,1,0,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2017-07-10
191.7,City Hotel,yes,32,2016,June,24,8,0,4,2,2,0,0,0,0,F,F,0,No Deposit,0,0,Canceled,2016-05-30
140,City Hotel,no,60,2017,August,35,27,1,0,1,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2017-08-28
145,Resort Hotel,no,5,2016,May,22,28,1,1,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-05-30
130.5,City Hotel,no,177,2017,June,25,24,2,1,2,0,0,0,0,0,D,D,4,No Deposit,0,3,Check-Out,2017-06-27
73.33,City Hotel,no,220,2016,June,23,4,2,1,2,0,0,0,0,0,A,C,1,No Deposit,0,1,Check-Out,2016-06-07
88,City Hotel,yes,69,2017,January,4,25,0,2,2,0,0,0,0,0,A,A,3,No Deposit,0,0,Canceled,2016-12-30
211,City Hotel,no,14,2016,May,21,15,2,0,2,2,0,0,0,0,F,F,0,No Deposit,0,2,Check-Out,2016-05-17
215,City Hotel,no,1,2016,September,40,30,1,2,1,0,0,0,0,0,E,E,1,No Deposit,0,0,Check-Out,2016-10-03
121,City Hotel,no,14,2016,June,24,8,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-06-09
150,City Hotel,yes,9,2017,May,18,3,0,4,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-04-26
160,City Hotel,yes,36,2017,June,26,29,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-26
93.33,City Hotel,no,5,2016,March,12,19,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-03-22
120,City Hotel,no,29,2017,June,24,11,1,0,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-06-12
79.2,City Hotel,no,147,2017,June,24,16,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-06-19
89.25,City Hotel,no,102,2016,May,19,1,2,2,1,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-05-05
89,Resort Hotel,no,88,2017,February,8,25,1,1,2,2,0,0,0,0,G,G,0,No Deposit,1,1,Check-Out,2017-02-27
160,City Hotel,yes,28,2017,May,21,22,1,2,1,0,0,0,0,0,A,A,0,No Deposit,0,1,No-Show,2017-05-22
81,City Hotel,no,22,2016,February,8,19,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-02-21
38,Resort Hotel,no,0,2016,January,2,7,2,4,2,0,0,0,0,0,A,A,4,No Deposit,0,0,Check-Out,2016-01-13
72,City Hotel,no,226,2017,March,10,7,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-03-09
101.33,City Hotel,no,476,2017,July,28,15,2,4,2,0,0,0,0,0,A,A,2,No Deposit,0,1,Check-Out,2017-07-21
90.1,City Hotel,no,3,2017,January,1,5,0,3,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-01-08
43.89,Resort Hotel,no,28,2016,October,43,18,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-10-20
257,City Hotel,no,9,2016,May,21,21,2,2,2,0,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-05-25
85,City Hotel,no,80,2016,September,37,4,2,4,1,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-09-10
95.2,City Hotel,no,9,2017,July,29,21,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-07-23
202.74,City Hotel,no,116,2016,August,33,12,0,1,2,2,0,0,0,0,G,G,0,No Deposit,0,1,Check-Out,2016-08-13
82.66,City Hotel,no,0,2016,July,30,23,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-07-24
80.75,City Hotel,no,196,2016,May,20,12,1,3,2,0,0,0,0,0,A,A,3,No Deposit,0,1,Check-Out,2016-05-16
175.5,City Hotel,yes,150,2017,July,29,22,2,1,3,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-02-22
148.5,City Hotel,no,230,2017,August,33,16,0,3,2,1,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2017-08-19
152.1,City Hotel,yes,155,2017,July,29,17,1,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-02-12
89,City Hotel,no,1,2016,January,2,6,0,1,2,0,0,0,0,0,A,B,0,No Deposit,0,0,Check-Out,2016-01-07
30.99,Resort Hotel,no,0,2017,January,2,9,1,0,2,0,0,1,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-01-10
103,City Hotel,no,0,2017,March,11,16,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-03-17
108.9,City Hotel,yes,193,2016,September,36,3,0,1,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Canceled,2016-05-28
98.33,Resort Hotel,yes,55,2017,April,15,14,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-02-20
139.5,City Hotel,no,183,2017,May,22,28,2,0,2,0,0,0,0,0,D,D,1,No Deposit,0,1,Check-Out,2017-05-30
136,Resort Hotel,no,0,2016,September,40,30,0,1,1,0,0,0,0,0,D,D,0,No Deposit,1,1,Check-Out,2016-10-01
183,City Hotel,yes,88,2017,May,19,12,1,2,3,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-03-07
48,Resort Hotel,no,17,2017,January,4,26,0,3,2,0,0,0,0,0,A,D,0,No Deposit,0,1,Check-Out,2017-01-29
84.33,City Hotel,no,133,2016,March,11,11,1,2,2,0,0,0,0,0,A,D,0,No Deposit,0,1,Check-Out,2016-03-14
99,Resort Hotel,no,21,2017,April,15,11,0,1,2,0,0,0,0,0,E,F,0,No Deposit,0,1,Check-Out,2017-04-12
71.1,City Hotel,yes,35,2016,March,12,14,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,No-Show,2016-03-14
117,City Hotel,yes,55,2017,April,15,9,2,3,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-04-04
88,City Hotel,no,14,2017,May,22,30,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-05-31
99,City Hotel,yes,50,2016,September,36,2,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-07-16
90.95,City Hotel,no,160,2016,June,27,30,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-07-04
143.43,City Hotel,no,17,2016,November,46,9,0,4,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-11-13
136,Resort Hotel,no,27,2016,April,16,10,2,2,3,1,0,0,0,0,G,H,3,No Deposit,1,0,Check-Out,2016-04-14
180.67,City Hotel,no,6,2016,August,34,15,1,2,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-08-18
92.93,City Hotel,no,4,2016,August,32,2,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-08-03
93,City Hotel,no,2,2016,February,6,1,1,3,2,0,1,0,0,0,A,D,1,No Deposit,0,2,Check-Out,2016-02-05
60.98,City Hotel,no,73,2016,December,49,3,0,1,2,0,0,0,0,0,A,D,0,No Deposit,0,1,Check-Out,2016-12-04
57.05,City Hotel,no,7,2017,January,4,26,0,3,1,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2017-01-29
85.03,City Hotel,no,0,2016,September,38,11,1,0,1,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-09-12
203.67,Resort Hotel,no,212,2017,August,32,11,2,4,2,0,0,0,0,0,E,E,1,No Deposit,0,4,Check-Out,2017-08-17
186,City Hotel,no,141,2017,August,34,23,0,2,2,0,0,0,0,0,D,D,1,No Deposit,0,2,Check-Out,2017-08-25
155,City Hotel,yes,4,2017,April,15,15,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-04-14
81.2,City Hotel,no,168,2016,April,17,21,2,3,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Check-Out,2016-04-26
99,City Hotel,yes,327,2017,May,18,2,0,2,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-06-09
103.05,City Hotel,no,202,2017,April,15,9,2,1,0,2,0,0,0,0,B,B,0,No Deposit,0,1,Check-Out,2017-04-12
106,City Hotel,no,141,2017,August,32,12,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-08-15
146,City Hotel,no,76,2017,June,24,12,1,0,2,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2017-06-13
134.1,City Hotel,yes,57,2017,May,19,10,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-03-15
79.2,City Hotel,no,55,2016,December,50,9,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-12-12
140.4,City Hotel,yes,36,2016,April,18,30,2,2,1,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2016-04-11
102.6,City Hotel,no,36,2016,October,42,13,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-10-14
105,Resort Hotel,no,49,2016,May,22,25,0,1,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-05-26
137.7,City Hotel,yes,125,2016,August,34,20,1,1,3,0,0,0,0,0,D,D,0,No Deposit,0,1,Canceled,2016-08-16
168.33,Resort Hotel,no,34,2016,June,23,2,0,3,2,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-06-05
190,City Hotel,no,0,2017,May,18,2,0,2,1,0,0,0,0,0,E,E,1,No Deposit,0,1,Check-Out,2017-05-04
73.33,City Hotel,no,220,2016,June,23,4,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-06-07
109.85,City Hotel,no,3,2016,June,24,7,0,3,1,0,0,0,0,0,D,A,0,No Deposit,0,2,Check-Out,2016-06-10
221,City Hotel,yes,16,2016,June,24,11,0,1,2,2,0,0,0,0,F,F,0,No Deposit,0,0,Canceled,2016-05-28
112.67,City Hotel,no,451,2017,July,28,12,0,3,2,0,0,0,0,0,A,E,0,No Deposit,0,1,Check-Out,2017-07-15
88,City Hotel,no,23,2017,March,9,2,0,3,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-03-05
129.2,City Hotel,yes,53,2016,June,25,12,1,0,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Canceled,2016-05-09
122,Resort Hotel,no,130,2017,June,22,1,1,3,1,0,0,0,0,0,A,A,3,No Deposit,1,1,Check-Out,2017-06-05
175.5,City Hotel,yes,168,2017,August,35,27,2,1,3,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-05-09
108,City Hotel,no,183,2017,May,22,28,2,0,2,0,0,0,0,0,A,A,2,No Deposit,0,1,Check-Out,2017-05-30
80,Resort Hotel,no,1,2017,May,21,24,0,1,1,0,0,0,0,0,A,E,0,No Deposit,0,0,Check-Out,2017-05-25
119.83,City Hotel,yes,168,2017,August,32,6,4,10,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-02-21
76.23,City Hotel,no,148,2017,June,25,22,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-06-23
79.64,City Hotel,yes,106,2017,March,13,28,0,5,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2017-01-03
102.6,City Hotel,no,36,2016,October,42,13,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-10-14
90,City Hotel,no,127,2016,April,18,28,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-05-02
182,City Hotel,yes,13,2017,May,20,16,0,5,2,0,0,0,0,0,D,D,0,No Deposit,0,2,Canceled,2017-05-06
259,City Hotel,no,0,2017,August,33,16,0,1,2,2,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2017-08-17
138.6,Resort Hotel,no,54,2016,September,37,10,0,1,2,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-09-11
223.2,City Hotel,no,53,2016,October,41,8,3,6,2,0,0,0,0,0,G,G,0,No Deposit,0,1,Check-Out,2016-10-17
103,Resort Hotel,no,1,2017,June,22,2,0,2,2,0,0,1,0,0,A,A,0,No Deposit,1,1,Check-Out,2017-06-04
68.61,City Hotel,no,158,2017,July,29,18,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2017-07-19
190,Resort Hotel,no,32,2017,July,29,20,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2017-07-21
122.4,City Hotel,yes,196,2016,October,41,8,1,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2016-08-16
130.13,Resort Hotel,no,25,2016,June,26,25,1,1,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-06-27
106.28,City Hotel,no,0,2016,September,38,15,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-09-16
311,Resort Hotel,no,25,2016,August,35,24,0,2,2,2,0,0,0,0,G,G,0,No Deposit,1,1,Check-Out,2016-08-26
264.44,City Hotel,no,6,2017,August,34,21,1,0,2,3,0,0,0,0,G,G,0,No Deposit,0,2,Check-Out,2017-08-22
41.6,Resort Hotel,no,241,2017,March,12,21,2,5,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Check-Out,2017-03-28
120.6,City Hotel,yes,60,2016,July,29,11,1,4,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2016-06-13
154,Resort Hotel,no,146,2017,June,24,15,0,2,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Check-Out,2017-06-17
116.1,City Hotel,yes,146,2017,July,27,8,2,3,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-05-17
87.04,City Hotel,no,31,2016,April,17,23,2,1,2,0,0,0,0,0,D,E,0,No Deposit,0,0,Check-Out,2016-04-26
